tip_lable,taxa
Asparagales_Liliales_Sansevieria_trifasciata_MVRF,Asparagales_Liliales_Sansevieria_trifasciata_MVRF
Asparagales_Liliales_Sisyrinchium_angustifolium_LTZF,Asparagales_Liliales_Sisyrinchium_angustifolium_LTZF
Asparagales_Liliales_Smilax_bona_nox_MWYQ,Asparagales_Liliales_Smilax_bona_nox_MWYQ
Asparagales_Liliales_Traubia_modesta_ZKPF,Asparagales_Liliales_Traubia_modesta_ZKPF
Asparagales_Liliales_Urginea_maritima_KOFB,Asparagales_Liliales_Urginea_maritima_KOFB
Asparagales_Liliales_Vanilla_planifolia_THDM,Asparagales_Liliales_Vanilla_planifolia_THDM
Asparagales_Liliales_Xeronema_callistemon_SART,Asparagales_Liliales_Xeronema_callistemon_SART
Asparagales_Liliales_Xerophyllum_asphodeloides_AFLV,Asparagales_Liliales_Xerophyllum_asphodeloides_AFLV
Asparagales_Liliales_Yucca_brevifolia_YBML,Asparagales_Liliales_Yucca_brevifolia_YBML
Asparagales_Liliales_Yucca_filamentosa_ICNN,Asparagales_Liliales_Yucca_filamentosa_ICNN
Asparagales_Liliales_Zephyranthes_treatiae_DPFW,Asparagales_Liliales_Zephyranthes_treatiae_DPFW
Asparagales_Lomandra_longifolia,Asparagales_Lomandra_longifolia
Asparagales_Neoastelia_spectabilis,Asparagales_Neoastelia_spectabilis
Asparagales_Neottia_nidus,Asparagales_Neottia_nidus
Asparagales_Nolina_atopocarpa,Asparagales_Nolina_atopocarpa
Asparagales_Oncidium_Gower,Asparagales_Oncidium_Gower
Asparagales_Phalaenopsis_aphrodite,Asparagales_Phalaenopsis_aphrodite
Asparagales_Phormium_tenax,Asparagales_Phormium_tenax
Asparagales_Rhizanthella_gardneri,Asparagales_Rhizanthella_gardneri
Asparagales_Yucca_schidigera,Asparagales_Yucca_schidigera
Asterales_Ageratina_adenophora,Asterales_Ageratina_adenophora
Asterales_Guizotia_abyssinica,Asterales_Guizotia_abyssinica
Asterales_Helianthus_annuus,Asterales_Helianthus_annuus
Asterales_Jacobaea_vulgaris,Asterales_Jacobaea_vulgaris
Asterales_Lactuca_sativa,Asterales_Lactuca_sativa
Asterales_Parthenium_argentatum,Asterales_Parthenium_argentatum
Asterales_Scaevola_aemula,Asterales_Scaevola_aemula
Asterales_Trachelium_caeruleum,Asterales_Trachelium_caeruleum
Austrobaileyales_Illicium_oligandrum,Austrobaileyales_Illicium_oligandrum
Basal_Angios_Amborella_trichopoda_URDJ,Basal_Angios_Amborella_trichopoda_URDJ
Basal_Angios_Annona_muricata_YZRI,Basal_Angios_Annona_muricata_YZRI
Basal_Angios_Aristolochia_elegans_PAWA,Basal_Angios_Aristolochia_elegans_PAWA
Basal_Angios_Ascarina_rubricaulis_WZFE,Basal_Angios_Ascarina_rubricaulis_WZFE
Basal_Angios_Austrobaileya_scandens_FZJL,Basal_Angios_Austrobaileya_scandens_FZJL
Basal_Angios_Calycanthus_floridus_FALI,Basal_Angios_Calycanthus_floridus_FALI
Basal_Angios_Canella_winterana-2_samples_combined_SJEV,Basal_Angios_Canella_winterana-2_samples_combined_SJEV
Basal_Angios_Cassytha_filiformis_VYLQ,Basal_Angios_Cassytha_filiformis_VYLQ
Basal_Angios_Cinnamomum_camphora_BCGB,Basal_Angios_Cinnamomum_camphora_BCGB
Basal_Angios_Drimys_winteri_WKSU,Basal_Angios_Drimys_winteri_WKSU
Basal_Angios_Eupomatia_bennettii_DHPO,Basal_Angios_Eupomatia_bennettii_DHPO
Basal_Angios_Gomortega_keule_MAQO,Basal_Angios_Gomortega_keule_MAQO
Basal_Angios_Gyrocarpus_americanus_BSVG,Basal_Angios_Gyrocarpus_americanus_BSVG
Basal_Angios_Houttuynia_cordata_CSSK,Basal_Angios_Houttuynia_cordata_CSSK
Basal_Angios_Idiospermum_australiense_WPHN,Basal_Angios_Idiospermum_australiense_WPHN
Basal_Angios_Illicium_floridanum_VZCI,Basal_Angios_Illicium_floridanum_VZCI
Basal_Angios_Illicium_parviflorum-2_samples_combined_UBDX,Basal_Angios_Illicium_parviflorum-2_samples_combined_UBDX
Basal_Angios_Kadsura_heteroclite_NWMY,Basal_Angios_Kadsura_heteroclite_NWMY
Basal_Angios_Laurelia_sempervirens_WAIL,Basal_Angios_Laurelia_sempervirens_WAIL
Basal_Angios_Lindera_benzoin_KAYP,Basal_Angios_Lindera_benzoin_KAYP
Basal_Angios_Magnolia_grandiflora_WBOD,Basal_Angios_Magnolia_grandiflora_WBOD
Basal_Angios_Michelia_maudiae_XQWC,Basal_Angios_Michelia_maudiae_XQWC
Basal_Angios_Myristica_fragrans_OBPL,Basal_Angios_Myristica_fragrans_OBPL
Basal_Angios_Nelumbo_nucifera_PZRT,Basal_Angios_Nelumbo_nucifera_PZRT
Basal_Angios_Nuphar_advena_WTKZ,Basal_Angios_Nuphar_advena_WTKZ
Basal_Angios_Peperomia_fraseri_XSZI,Basal_Angios_Peperomia_fraseri_XSZI
Basal_Angios_Persea_borbonia_WIGA,Basal_Angios_Persea_borbonia_WIGA
Basal_Angios_Peumus_boldus_KRJP,Basal_Angios_Peumus_boldus_KRJP
Basal_Angios_Piper_auritum_MUNP,Basal_Angios_Piper_auritum_MUNP
Basal_Angios_Sarcandra_glabra_OSHQ,Basal_Angios_Sarcandra_glabra_OSHQ
Basal_Angios_Saruma_henryi_QDVW,Basal_Angios_Saruma_henryi_QDVW
Basal_Angios_Sassafras_albidum_ABSS,Basal_Angios_Sassafras_albidum_ABSS
Basal_Angios_Saururus_cernuus_OPDF,Basal_Angios_Saururus_cernuus_OPDF
Basal_Angios_Uvaria_microcarpa_PSJT,Basal_Angios_Uvaria_microcarpa_PSJT
Basal_Eudicots_Aextoxicon_punctatum_QUTB,Basal_Eudicots_Aextoxicon_punctatum_QUTB
Basal_Eudicots_Akebia_trifoliata_CCID,Basal_Eudicots_Akebia_trifoliata_CCID
Basal_Eudicots_Anemone_hupenhensis_ZUHO,Basal_Eudicots_Anemone_hupenhensis_ZUHO
Basal_Eudicots_Anemone_pulsatilla_UPOG,Basal_Eudicots_Anemone_pulsatilla_UPOG
Basal_Eudicots_Argemone_mexicana-5_samples_combined_IRAF,Basal_Eudicots_Argemone_mexicana-5_samples_combined_IRAF
Basal_Eudicots_Berberidopsis_beckleri_HAEU,Basal_Eudicots_Berberidopsis_beckleri_HAEU
Basal_Eudicots_Buxus_sempervirens-green_branch_with_leaves_IWMW,Basal_Eudicots_Buxus_sempervirens-green_branch_with_leaves_IWMW
Basal_Eudicots_Capnoides_sempervirens_AUGV,Basal_Eudicots_Capnoides_sempervirens_AUGV
Basal_Eudicots_Ceratocapnos_vesicaria_UDHA,Basal_Eudicots_Ceratocapnos_vesicaria_UDHA
Basal_Eudicots_Chelidonium_majus_XMVD,Basal_Eudicots_Chelidonium_majus_XMVD
Basal_Eudicots_Corydalis_linstowiana_ZGQD,Basal_Eudicots_Corydalis_linstowiana_ZGQD
Basal_Eudicots_Daenikera_sp._BSEY,Basal_Eudicots_Daenikera_sp._BSEY
Basal_Eudicots_Dendropemon_caribaeus_VGVI,Basal_Eudicots_Dendropemon_caribaeus_VGVI
Basal_Eudicots_Dillenia_indica_EHNF,Basal_Eudicots_Dillenia_indica_EHNF
Basal_Eudicots_Eschscholzia_californica-5_samples_combined_EVOD,Basal_Eudicots_Eschscholzia_californica-5_samples_combined_EVOD
Basal_Eudicots_Euptelea_pleiosperma_QTJY,Basal_Eudicots_Euptelea_pleiosperma_QTJY
Basal_Eudicots_Exocarpos_cupressiformis-Nov._XGFU,Basal_Eudicots_Exocarpos_cupressiformis-Nov._XGFU
Basal_Eudicots_Grevillea_robusta_GRRW,Basal_Eudicots_Grevillea_robusta_GRRW
Basal_Eudicots_Gunnera_manicata_XMQO,Basal_Eudicots_Gunnera_manicata_XMQO
Basal_Eudicots_Hakea_drupaceae_SIIK,Basal_Eudicots_Hakea_drupaceae_SIIK
Basal_Eudicots_Hakea_prostrata-2_samples_combined_RQUG,Basal_Eudicots_Hakea_prostrata-2_samples_combined_RQUG
Basal_Eudicots_Hydrastis_canadensis_VGHH,Basal_Eudicots_Hydrastis_canadensis_VGHH
Basal_Eudicots_Hypecoum_procumbens_NMGG,Basal_Eudicots_Hypecoum_procumbens_NMGG
Basal_Eudicots_Meliosma_cuneifolia_AALA,Basal_Eudicots_Meliosma_cuneifolia_AALA
Basal_Eudicots_Nandina_domestica_YHFG,Basal_Eudicots_Nandina_domestica_YHFG
Basal_Eudicots_Nelumbo_sp._FAKD,Basal_Eudicots_Nelumbo_sp._FAKD
Basal_Eudicots_Papaver_bracteatum-3_samples_combined_SSDU,Basal_Eudicots_Papaver_bracteatum-3_samples_combined_SSDU
Basal_Eudicots_Papaver_rhoeas-5_samples_combined_BEKN,Basal_Eudicots_Papaver_rhoeas-5_samples_combined_BEKN
Basal_Eudicots_Papaver_setigerum-5_samples_combined_QCOU,Basal_Eudicots_Papaver_setigerum-5_samples_combined_QCOU
Basal_Eudicots_Papaver_somniferum-5_samples_combined_RQNK,Basal_Eudicots_Papaver_somniferum-5_samples_combined_RQNK
Basal_Eudicots_Phoradendron_serotinum_QKMG,Basal_Eudicots_Phoradendron_serotinum_QKMG
Basal_Eudicots_Platanus_occidentalis_VQFW,Basal_Eudicots_Platanus_occidentalis_VQFW
Basal_Eudicots_Podophyllum_peltatum_WFBF,Basal_Eudicots_Podophyllum_peltatum_WFBF
Basal_Eudicots_Sanguinaria_canadensis_XHKT,Basal_Eudicots_Sanguinaria_canadensis_XHKT
Basal_Eudicots_Santalum_acuminatum-Nov._RSPO,Basal_Eudicots_Santalum_acuminatum-Nov._RSPO
Basal_Eudicots_Thalictrum_thalictroides_GBVZ,Basal_Eudicots_Thalictrum_thalictroides_GBVZ
Basal_Eudicots_Trochodendron_araliodes_SWOH,Basal_Eudicots_Trochodendron_araliodes_SWOH
BBBA,Tetrastigma_obtectum_BBBA
BCAA,Kirkia_wilmsii_BCAA
Berberidopsidales_Berberidopsis_corallina,Berberidopsidales_Berberidopsis_corallina
BGZG,Cissus_quadrangularis_BGZG
Brassicales_Aethionema_cordifolium,Brassicales_Aethionema_cordifolium
Brassicales_Aethionema_grandiflorum,Brassicales_Aethionema_grandiflorum
Brassicales_Arabidopsis_thaliana,Brassicales_Arabidopsis_thaliana
Brassicales_Arabis_hirsuta,Brassicales_Arabis_hirsuta
Brassicales_Barbarea_verna,Brassicales_Barbarea_verna
Brassicales_Capsella_bursa,Brassicales_Capsella_bursa
Brassicales_Carica_papaya,Brassicales_Carica_papaya
Brassicales_Crucihimalaya_wallichii,Brassicales_Crucihimalaya_wallichii
Brassicales_Draba_nemorosa,Brassicales_Draba_nemorosa
Brassicales_Lepidium_virginicum,Brassicales_Lepidium_virginicum
Brassicales_Lobularia_maritima,Brassicales_Lobularia_maritima
Brassicales_Nasturtium_officinale,Brassicales_Nasturtium_officinale
Brassicales_Olimarabidopsis_pumila,Brassicales_Olimarabidopsis_pumila
Buxales_Buxus_microphylla,Buxales_Buxus_microphylla
Campanulids_Angelica_archangelica_TQKZ,Campanulids_Angelica_archangelica_TQKZ
Campanulids_Anthemis_tinctoria_GUMF,Campanulids_Anthemis_tinctoria_GUMF
Campanulids_Aster_tataricus_XRCX,Campanulids_Aster_tataricus_XRCX
Campanulids_Campanula_delicatula_KSDC,Campanulids_Campanula_delicatula_KSDC
Campanulids_Campanula_erinus_XAEC,Campanulids_Campanula_erinus_XAEC
Campanulids_Carthamus_lanatus_CFRN,Campanulids_Carthamus_lanatus_CFRN
Campanulids_Centella_asiatica_WEQK,Campanulids_Centella_asiatica_WEQK
Campanulids_Cicerbita_plumieri_JNKW,Campanulids_Cicerbita_plumieri_JNKW
Campanulids_Conzya_canadensis-2_samples_combined_MHYG,Campanulids_Conzya_canadensis-2_samples_combined_MHYG
Campanulids_Corokia_cotoneaster_GIOY,Campanulids_Corokia_cotoneaster_GIOY
Campanulids_Dipsacus_sativum_JTRM,Campanulids_Dipsacus_sativum_JTRM
Campanulids_Erigeron_speciosus_DESP,Campanulids_Erigeron_speciosus_DESP
Campanulids_Escallonia_rubra_CLMX,Campanulids_Escallonia_rubra_CLMX
Campanulids_Escallonia_sp._cv._Newport_CLNU,Campanulids_Escallonia_sp._cv._Newport_CLNU
Campanulids_Flaveria_angustifolia-2_samples_combined_YRBQ,Campanulids_Flaveria_angustifolia-2_samples_combined_YRBQ
Campanulids_Flaveria_bidentis-2_samples_combined_JEPE,Campanulids_Flaveria_bidentis-2_samples_combined_JEPE
Campanulids_Flaveria_brownii-2_samples_combined_JYMN,Campanulids_Flaveria_brownii-2_samples_combined_JYMN
Campanulids_Flaveria_cronquestii-2_samples_combined_BIDT,Campanulids_Flaveria_cronquestii-2_samples_combined_BIDT
Campanulids_Flaveria_kochiana_QXWF,Campanulids_Flaveria_kochiana_QXWF
Campanulids_Flaveria_palmeri_NVSO,Campanulids_Flaveria_palmeri_NVSO
Campanulids_Flaveria_pringlei-2_samples_combined_AQZD,Campanulids_Flaveria_pringlei-2_samples_combined_AQZD
